PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
xtwLe,r3kb1r/pp2npp1/3p4/qB1Ppb1p/7P/1QP1B3/P5P1/2KR2NR b kq - 1 15,f5d7 b5d7 e8d7 b3b7 a5c7 b7a8,929,78,86,161,advantage attraction discoveredAttack fork long middlegame,https://lichess.org/RzZILtZ3/black#30,Sicilian_Defense Sicilian_Defense_Alapin_Variation
R8EKK,r1b2rk1/p4ppp/2p1p3/q2p4/3P1P2/2P2N1P/P4PP1/R2Q1RK1 w - - 1 14,d1d3 c8a6 d3c2 a6f1,930,82,85,141,advantage middlegame short skewer,https://lichess.org/H7LierVr#27,Queens_Pawn_Game Queens_Pawn_Game_London_System
gAIcj,R7/3P2k1/P7/1Bp3b1/2Prpp1p/7P/5PK1/8 w - - 0 49,a8e8 f4f3 g2h2 g5f4 h2g1 d4d1,930,86,93,505,endgame long mate mateIn3,https://lichess.org/KXetXZUg#97,
nGfU1,2r3k1/6pp/pq1p1b2/1p2N2Q/8/2P5/PP4PP/5R1K b - - 0 31,f6e5 h5f7 g8h8 f7f8 c8f8 f1f8,930,85,89,1012,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/APkGDgJT/black#62,
3048W,4r2k/ppp5/7p/4pq1r/2PpRp2/P2P1P2/1P1Q2PP/6RK w - - 5 29,d2e2 h5h2 h1h2 f5h5,930,94,95,555,attraction endgame kingsideAttack mate mateIn2 sacrifice short,https://lichess.org/8jyfolCL#57,
wd3d5,r1bQk2r/p1q2ppp/1pp1p1n1/2b1P1B1/8/2N2N2/PPP2PPP/2KR3R b kq - 3 11,c7d8 d1d8,932,78,100,76,mate mateIn1 middlegame oneMove,https://lichess.org/3kTQp37g/black#22,Sicilian_Defense Sicilian_Defense_French_Variation
fQ6lj,1r4k1/5pp1/p2R3p/4p3/2Q1P3/2P4P/P4PP1/2q3K1 w - - 1 29,g1h2 c1f4 h2g1 b8b1 c4f1 b1f1,932,78,92,570,advantage endgame long,https://lichess.org/proyEufg#57,
Z0Mmi,4r1k1/2p2pp1/P7/8/1q1N3p/3Q1P2/bP4PP/1R5K w - - 2 29,b1d1 e8e1 d3f1 e1f1,933,79,65,143,crushing endgame short,https://lichess.org/5xYgHTPG#57,
uFuAF,5rk1/pp4pp/1p6/2qn4/2P5/1P1P3P/P2QR1PB/7K w - - 1 32,c4d5 f8f1 h2g1 c5g1,933,97,95,1347,endgame mate mateIn2 short,https://lichess.org/Foy52DE2#63,
AJZfV,8/7p/6p1/1p2kpb1/1Bp5/P1P2P1P/1P2K3/8 b - - 6 49,e5f4 b4d6,933,90,74,56,bishopEndgame endgame mate mateIn1 oneMove,https://lichess.org/NCBc0md3/black#98,
GEjFq,4rrk1/ppp5/3p3b/5p1P/3Pq3/4P1Q1/PPP2PP1/2KR3R b - - 2 19,g8h7 g3g6 h7h8 g6h6,933,80,91,210,crushing deflection master middlegame short,https://lichess.org/dzlYtv2Y/black#38,Dutch_Defense Dutch_Defense_Raphael_Variation
e7ITr,r1bq1r1k/pp2bp1n/4p3/2pp3Q/5P2/1P2P2R/P1PP2PP/RN4K1 b - - 7 16,f8g8 h5h7,934,78,56,98,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/QBAfjmrP/black#32,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Other_variations
zhuUn,1R6/5p1p/4k1p1/6P1/1P1p1K1P/5P2/8/4r3 b - - 5 41,d4d3 b8e8 e6d5 e8e1,934,80,100,469,crushing endgame master rookEndgame short skewer,https://lichess.org/K1raSrb8/black#82,
FSwu2,r4rk1/p5pp/1p2N3/2p1P3/4b1Pq/7P/PP3BK1/2RQ1R2 w - - 1 23,g2h2 f8f2 f1f2 h4f2,934,76,90,381,mate mateIn2 middlegame short,https://lichess.org/gaTfDIV5#45,
